Код","Название","Описание","Фото1","Фото2","Фото3","Фото4","Фото5","Цена за упаковку","Кол в упаковке","Цена опт ","наличие","рубрика","Детальноеописание","Nazvanie","Vitrina","Short","Vid","UAH"
"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18"
"11015","Мужские укороченные носки Inaltun","Мужские укороченные носки Inaltun. Состав: хлопок 70%, ПА 28%, эластан 2%. Цвет: ассорти. Размер: 41-44. Количество в упаковке 12 пар.","/pic/IMG_8165","","","","","150","12","12,5","1","1","","Muzhskie_ukorochennye_noski_Inaltun_11015","","short","вид","UAH"
"11038","Мужские стрейчевые носки Hakan","Мужские стрейчевые носки с сеткой Hakan. Состав: хлопок 80%, эластан 20%. Цвет: ассорти. Размер: 40-44. Количество в упаковке 12 пар.","/pic/IMG_3254","IMG_3217","","","","120","12","10","1","1","","Muzhskie_strejchevye_noski_Hakan_11038","","short","вид","UAH"
"12016","Мужские носки Inaltun","Мужские носки Inaltun. Состав: хлопок 70%, ПА 28%, эластан 2%. Цвет: ассорти. Размер: 41-44. Количество в упаковке 12 пар.","/pic/IMG_4052(1)","IMG_4052","IMG_4028","","","160","12","13,3333333333333","1","2","","Muzhskie_noski_Inaltun_12016","1","short","вид","UAH"
"12017","Мужские носки Inaltun","Мужские носки Inaltun. Состав: хлопок 70%, ПА 28%, эластан 2%. Цвет: ассорти. Размер: 41-44. Количество в упаковке 12 пар.","/pic/IMG_4053(1)","IMG_4053","IMG_4026","","","160","12","13,3333333333333","1","2","","Muzhskie_noski_Inaltun_12017","1","short","вид","UAH"
"12021","Мужские демисезонные носки Z&N","Носки мужские демисезонные ароматизированные хлопковые с лайкрой Z&N, с гладким кетельным швом, усиленными пяткой и носком. Состав: хлопок 90%, стрейч 10%. Цвет: черный. Размер: 41-44. Количество в упаковке 12 пар.","/pic/IMG_6716","IMG_6691","","","","210","12","17,5","1","2","41-44","Muzhskie_demisezonnye_noski_ZN_12021","","short","вид","UAH"
"12023","Мужские носки Z&N Бамбук","Носки мужские с лайкрой Z&N Бамбук, с гладким кетельным швом. Состав: бамбук 95%, стрейч 5%. Цвет: чёрный, ассорти. Размер: 41-44. Количество в упаковке 12 пар.","/pic/IMG_8176","","","","","270","12","22,5","1","2","чёрный;ассорти","Muzhskie_noski_Z&N_Bambuk_12023","","short","вид","UAH"
"12024","Мужские носки Z&N Модал","Носки мужские с лайкрой Z&N Модал, с гладким кетельным швом. Состав: модал 95%, стрейч 5%. Цвет: ассорти. Размер: 41-44. Количество в упаковке 12 пар.","/pic/IMG_3213","","","","","230","12","19,1666666666667","1","2","","Muzhskie_noski_Z&N_Bambuk_12024","","short","вид","UAH"
"12025","Мужские носки Z&N Модал","Носки мужские с лайкрой Z&N Модал, с гладким кетельным швом. Состав: модал 95%, стрейч 5%. Цвет: чёрный. Размер: 41-44. Количество в упаковке 12 пар.","/pic/IMG_3214","","","","","230","12","19,1666666666667","1","2","","Muzhskie_noski_Z&N_Bambuk_12025","","short","вид","UAH"
"12026","Мужские носки Marjinal","Носки мужские с лайкрой Marjinal, с гладким кетельным швом, двойной пятой и носком. Состав: хлопок 90%, стрейч 10%. Цвет: чёрный. Размер: 40-45. Количество в упаковке 12 пар.","/pic/IMG_4428","","","","","106","6","17,6666666666667","1","2","","Muzhskie_noski_Marjinal_12022","","short","вид","UAH"
"12030","Мужские стрейчевые носки Hakan","Мужские стрейчевые носкиHakan. Состав: хлопок 80%, эластан 20%. Цвет: ассорти. Размер: 40-44. Количество в упаковке 12 пар.","/pic/IMG_4199","","","","","120","12","10","0","2","","Muzhskie_strejchevye_noski_Hakan_12030","","short","вид","UAH"
"12032","Мужские стрейчевые носки Hakan","Мужские стрейчевые носкиHakan. Состав: хлопок 80%, эластан 20%. Цвет: ассорти. Размер: 40-44. Количество в упаковке 12 пар.","/pic/IMG_4201","","","","","120","12","10","1","2","","Muzhskie_strejchevye_noski_Hakan_12032","","short","вид","UAH"
"12033","Мужские носки Ekmen","Мужские носки Ekmen. Состав: хлопок 75%, ПА 22%, лайкра 3%. Цвет: ассорти. Размер: 40-45. Количество в упаковке 12 пар","/pic/IMG_3676","","","","","175","12","14,5833333333333","1","2","","Muzhskie_noski_Ekmen_12033","1","short","вид","UAH"
